$Y:\mLB_TP2\08_Projektbearbeitung\utg\Pruefung\Druckproben\Druckversuch_DIN50106.zs2
Vorkraft                                500 N
Prüfgeschwindigkeit                     0.0067 1/s
Durchmesser                             9.95 mm
Probenhoehe                             13.99 mm
$
         Standardweg;       Standardkraft;           Pruefzeit
 1.167962774634e-001; 3.522076416016e+003; 2.160000562668e+000
 1.186285689473e-001; 3.561421142578e+003; 2.180000543594e+000
 1.205351427197e-001; 3.599692871094e+003; 2.200000524521e+000
 1.223921999335e-001; 3.637606933594e+003; 2.220000505447e+000
 1.242987737060e-001; 3.674447998047e+003; 2.240000724792e+000
 1.261310726404e-001; 3.709858398438e+003; 2.260000705719e+000
 1.280128806829e-001; 3.743837890625e+003; 2.280000686646e+000
 1.299442201853e-001; 3.777459960938e+003; 2.300000667572e+000
 1.317765116692e-001; 3.810724121094e+003; 2.320000648499e+000
 1.336583197117e-001; 3.842915283203e+003; 2.340000629425e+000
 1.355153769255e-001; 3.874749023438e+003; 2.360000610352e+000
 1.373724341393e-001; 3.905509521484e+003; 2.380000591278e+000
 1.392542421818e-001; 3.935912109375e+003; 2.400000572205e+000
 1.410865336657e-001; 3.965599609375e+003; 2.420000553131e+000
 1.429683566093e-001; 3.994929443359e+003; 2.440000534058e+000
 1.448253989220e-001; 4.023901611328e+003; 2.460000514984e+000
 1.467072218657e-001; 4.052515869141e+003; 2.480000495911e+000
 1.486385613680e-001; 4.081130371094e+003; 2.500000715256e+000
 1.504708528519e-001; 4.109029296875e+003; 2.520000696182e+000
 1.524021774530e-001; 4.136928222656e+003; 2.540000677109e+000
 1.542592346668e-001; 4.165185058594e+003; 2.560000658035e+000
 1.561410427094e-001; 4.194157226563e+003; 2.580000638962e+000
 1.580476313829e-001; 4.223129394531e+003; 2.600000619888e+000
 1.598551571369e-001; 4.252458984375e+003; 2.620000600815e+000
 1.617864966393e-001; 4.282146484375e+003; 2.640000581741e+000
 1.636435389519e-001; 4.310403320313e+003; 2.660000562668e+000
 1.655501276255e-001; 4.339017578125e+003; 2.680000543594e+000
 1.674319356680e-001; 4.367632324219e+003; 2.700000524521e+000
 1.692394614220e-001; 4.395531250000e+003; 2.720000505447e+000
 1.711460351944e-001; 4.422357421875e+003; 2.740000724792e+000
 1.729783415794e-001; 4.450256347656e+003; 2.760000705719e+000
 1.748601496220e-001; 4.477797851563e+003; 2.780000686646e+000
 1.766924411058e-001; 4.504266113281e+003; 2.800000667572e+000
 1.785742491484e-001; 4.532880371094e+003; 2.820000648499e+000
 1.804808229208e-001; 4.562209960938e+003; 2.840000629425e+000
 1.823626458645e-001; 4.590466796875e+003; 2.860000610352e+000
 1.842939853668e-001; 4.620869628906e+003; 2.880000591278e+000
 1.861015111208e-001; 4.650199218750e+003; 2.900000572205e+000
 1.880080848932e-001; 4.679529296875e+003; 2.920000553131e+000
 1.899146586657e-001; 4.708858886719e+003; 2.940000534058e+000
 1.917469501495e-001; 4.740334960938e+003; 2.960000514984e+000
 1.936287730932e-001; 4.771453125000e+003; 2.980000495911e+000
 1.954858154058e-001; 4.806863281250e+003; 3.000000715256e+000
 1.973676383495e-001; 4.845850585938e+003; 3.020000696182e+000
 1.992989778519e-001; 4.889845214844e+003; 3.040000677109e+000
 2.011065036058e-001; 4.935270507813e+003; 3.060000658035e+000
 2.030130773783e-001; 4.982484375000e+003; 3.080000638962e+000
 2.048701345921e-001; 5.027551757813e+003; 3.100000619888e+000
 2.067271918058e-001; 5.068327636719e+003; 3.120000600815e+000
 2.086337655783e-001; 5.104811035156e+003; 3.140000581741e+000
 2.104412913322e-001; 5.137359863281e+003; 3.160000562668e+000
 2.123478651047e-001; 5.164901367188e+003; 3.180000543594e+000
 2.142296731472e-001; 5.191011718750e+003; 3.200000524521e+000
 2.161362618208e-001; 5.213903320313e+003; 3.220000505447e+000
 2.180180698633e-001; 5.233575683594e+003; 3.240000724792e+000
 2.198503613472e-001; 5.253605957031e+003; 3.260000705719e+000
 2.217569351196e-001; 5.273635742188e+003; 3.280000686646e+000
 2.236139923334e-001; 5.291877441406e+003; 3.300000667572e+000
 2.254958003759e-001; 5.310834472656e+003; 3.320000648499e+000
 2.273776233196e-001; 5.331937988281e+003; 3.340000629425e+000
 2.292346656322e-001; 5.351967773438e+003; 3.360000610352e+000
 2.311660051346e-001; 5.371282714844e+003; 3.380000591278e+000
 2.329982966185e-001; 5.390597167969e+003; 3.400000572205e+000
 2.349048703909e-001; 5.410984863281e+003; 3.420000553131e+000
 2.367619276047e-001; 5.430299804688e+003; 3.440000534058e+000
 2.385942190886e-001; 5.450330078125e+003; 3.460000514984e+000
 2.405007928610e-001; 5.470717773438e+003; 3.480000495911e+000
 2.423330843449e-001; 5.492178710938e+003; 3.500000715256e+000
 2.442149072886e-001; 5.513281738281e+003; 3.520000696182e+000
 2.460719496012e-001; 5.534742187500e+003; 3.540000677109e+000
 2.479537725449e-001; 5.556203125000e+003; 3.560000658035e+000
